,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
aggravating_gjentatte tilfeller,3,aggravating_gjentatte tilfeller,aggravating,gjentatte tilfeller,repeated cases,repeated_offense,
aggravating_videresalg,3,aggravating_videresalg,aggravating,videresalg,resale,DELETE,
aggravating_sentral rolle i narkotikakriminalitet,3,aggravating_sentral rolle i narkotikakriminalitet,aggravating,sentral rolle i narkotikakriminalitet,central role in drug crime,drugs,
aggravating_alvorlig narkotikakriminalitet,3,aggravating_alvorlig narkotikakriminalitet,aggravating,alvorlig narkotikakriminalitet,serious drug crime,drugs,
aggravating_særlig høy konsentrasjon av alkohol,3,aggravating_særlig høy konsentrasjon av alkohol,aggravating,særlig høy konsentrasjon av alkohol,particularly high concentration of alcohol,intoxication,
aggravating_ingen formildende omstendigheter,3,aggravating_ingen formildende omstendigheter,aggravating,ingen formildende omstendigheter,no extenuating circumstances,DELETE,
aggravating_planmessig,3,aggravating_planmessig,aggravating,planmessig,planned,premeditated,
aggravating_vold i eget hjem,3,aggravating_vold i eget hjem,aggravating,vold i eget hjem,violence in own home,place,private
aggravating_forlatt fornærmede,3,aggravating_forlatt fornærmede,aggravating,forlatt fornærmede,abandoned aggrieved,life_health,negligence
aggravating_vold utført av flere i fellesskap,3,aggravating_vold utført av flere i fellesskap,aggravating,vold utført av flere i fellesskap,violence committed by several people together,organized,
aggravating_bruk av farlig slagvåpen,3,aggravating_bruk av farlig slagvåpen,aggravating,bruk av farlig slagvåpen,use of a dangerous weapon,object,weapon
aggravating_utført av flere i fellesskap,3,aggravating_utført av flere i fellesskap,aggravating,utført av flere i fellesskap,carried out by several people together,organized,
aggravating_forlot fornærmede uten å hjelpe,3,aggravating_forlot fornærmede uten å hjelpe,aggravating,forlot fornærmede uten å hjelpe,left the victim without helping,life_health,negligence
aggravating_planlagt vold,3,aggravating_planlagt vold,aggravating,planlagt vold,planned violence,premeditated,
aggravating_hindring av offentlig tjenestemann,3,aggravating_hindring av offentlig tjenestemann,aggravating,hindring av offentlig tjenestemann,obstruction of public official,obstruction,
aggravating_gjengkriminalitet,3,aggravating_gjengkriminalitet,aggravating,gjengkriminalitet,gang crime,organized,
aggravating_vold mot flere personer,3,aggravating_vold mot flere personer,aggravating,vold mot flere personer,violence against several people,severe,several_victims
aggravating_frihetsberøvelsens lengde,3,aggravating_frihetsberøvelsens lengde,aggravating,frihetsberøvelsens lengde,the length of the deprivation of liberty,violation,deprivation_of_liberty
aggravating_identitetskrenkelse,3,aggravating_identitetskrenkelse,aggravating,identitetskrenkelse,identity violation,violation,identification
aggravating_kjøring under ruspåvirket tilstand,3,aggravating_kjøring under ruspåvirket tilstand,aggravating,kjøring under ruspåvirket tilstand,driving under the influence of drugs,driving,intoxication
aggravating_unnlatelse av å stanse for kontroll,3,aggravating_unnlatelse av å stanse for kontroll,aggravating,unnlatelse av å stanse for kontroll,failure to stop for inspection,driving,other
aggravating_betydelig skadepotensiale,3,aggravating_betydelig skadepotensiale,aggravating,betydelig skadepotensiale,significant damage potential,severe,damage
aggravating_risiko for spredning,3,aggravating_risiko for spredning,aggravating,risiko for spredning,risk of spread,DELETE,
aggravating_brudd på straffegjennomføringsloven,3,aggravating_brudd på straffegjennomføringsloven,aggravating,brudd på straffegjennomføringsloven,violation of the Execution of Sentences Act,violation,sentences_act
aggravating_brutal voldsutøvelse,3,aggravating_brutal voldsutøvelse,aggravating,brutal voldsutøvelse,brutal violence,life_health,violence
aggravating_volden ble filmet,3,aggravating_volden ble filmet,aggravating,volden ble filmet,the violence was filmed,violation,filming
aggravating_begått mot yngre person,3,aggravating_begått mot yngre person,aggravating,begått mot yngre person,committed against a younger person,victim,age_difference
aggravating_leder av organisert kriminell organisasjon,3,aggravating_leder av organisert kriminell organisasjon,aggravating,leder av organisert kriminell organisasjon,leader of an organized criminal organization,organized,
aggravating_sentral aktør i kriminelt nettverk,3,aggravating_sentral aktør i kriminelt nettverk,aggravating,sentral aktør i kriminelt nettverk,central actor in a criminal network,organized,leadership
aggravating_brudd på politiloven,3,aggravating_brudd på politiloven,aggravating,brudd på politiloven,violation of the Police Act,violation,police_act
aggravating_profittmotiv,3,aggravating_profittmotiv,aggravating,profittmotiv,profit motive,cause,personal_gain
aggravating_flere år,3,aggravating_flere år,aggravating,flere år,several years,DELETE,
aggravating_misbrukt stillinger,3,aggravating_misbrukt stillinger,aggravating,misbrukt stillinger,abused positions,trust,
aggravating_forsømmelse av hjelpeplikten,3,aggravating_forsømmelse av hjelpeplikten,aggravating,forsømmelse av hjelpeplikten,neglect of the duty to assist,life_health,negligence
aggravating_forlot ulykkesstedet,3,aggravating_forlot ulykkesstedet,aggravating,forlot ulykkesstedet,left the scene of the accident,life_health,negligence
aggravating_utnyttelse av tillitsforhold,3,aggravating_utnyttelse av tillitsforhold,aggravating,utnyttelse av tillitsforhold,exploitation of relationships of trust,trust,
aggravating_betydelig fare for liv og helse,3,aggravating_betydelig fare for liv og helse,aggravating,betydelig fare for liv og helse,significant danger to life and health,life_health,
aggravating_vold utført av flere personer,3,aggravating_vold utført av flere personer,aggravating,vold utført av flere personer,violence committed by several people,DELETE,
aggravating_planmessig utført,3,aggravating_planmessig utført,aggravating,planmessig utført,carried out according to plan,premeditated,
aggravating_medvirkning til ran,3,aggravating_medvirkning til ran,aggravating,medvirkning til ran,complicity in robbery,DELETE,
aggravating_ran mot unge mennesker,3,aggravating_ran mot unge mennesker,aggravating,ran mot unge mennesker,robbery against young people,DELETE,
aggravating_vold mot politiet,3,aggravating_vold mot politiet,aggravating,vold mot politiet,violence against the police,DELETE,
aggravating_forårsaket materielle skader,3,aggravating_forårsaket materielle skader,aggravating,forårsaket materielle skader,caused material damage,severe,damage
aggravating_alvorlig frykt hos offeret,3,aggravating_alvorlig frykt hos offeret,aggravating,alvorlig frykt hos offeret,severe fear in the victim,life_health,psychological
aggravating_begått i prøvetiden,3,aggravating_begått i prøvetiden,aggravating,begått i prøvetiden,committed during the probationary period,violation,parole
aggravating_ranet begått av flere personer,3,aggravating_ranet begått av flere personer,aggravating,ranet begått av flere personer,robbery committed by several people,DELETE,
aggravating_vedvarende og fast forbrytersk forsett,3,aggravating_vedvarende og fast forbrytersk forsett,aggravating,vedvarende og fast forbrytersk forsett,persistent and fixed criminal intent,DELETE,
mitigating_overskredet grensen for nødverge,3,mitigating_overskredet grensen for nødverge,mitigating,overskredet grensen for nødverge,exceeded the limit for emergency guardian,DELETE,
mitigating_delvis erkjennelse,3,mitigating_delvis erkjennelse,mitigating,delvis erkjennelse,partial recognition,confession,limited
mitigating_provokasjon fra fornærmede,3,mitigating_provokasjon fra fornærmede,mitigating,provokasjon fra fornærmede,provocation by the victim,cause,provoked
mitigating_ingen forsøk på å skjule transaksjoner,3,mitigating_ingen forsøk på å skjule transaksjoner,mitigating,ingen forsøk på å skjule transaksjoner,no attempt to hide transactions,DELETE,
mitigating_ingen økonomisk vinning,3,mitigating_ingen økonomisk vinning,mitigating,ingen økonomisk vinning,no financial gain,minor,no_financial_gain
aggravating_seksuell omgang uten kondom,2,aggravating_seksuell omgang uten kondom,aggravating,seksuell omgang uten kondom,sexual intercourse without a condom,life_health,no_condom
aggravating_servering av alkohol,2,aggravating_servering av alkohol,aggravating,servering av alkohol,serving alcohol,DELETE,
aggravating_grov kroppskrenkelse,2,aggravating_grov kroppskrenkelse,aggravating,grov kroppskrenkelse,grievous bodily harm,life_health,
aggravating_kjøring over lengre avstand,2,aggravating_kjøring over lengre avstand,aggravating,kjøring over lengre avstand,driving over long distances,driving,distance
aggravating_på et offentlig sted,2,aggravating_på et offentlig sted,aggravating,på et offentlig sted,in a public place,place,public
aggravating_stor skadepotensial,2,aggravating_stor skadepotensial,aggravating,stor skadepotensial,high damage potential,severe,damage
aggravating_forfalskning av dokument,2,aggravating_forfalskning av dokument,aggravating,forfalskning av dokument,falsification of documents,violation,fraud
aggravating_villedet markedet,2,aggravating_villedet markedet,aggravating,villedet markedet,misled the market,DELETE,
aggravating_grov utroskap,2,aggravating_grov utroskap,aggravating,grov utroskap,gross adultery,DELETE,
aggravating_hvitvasking,2,aggravating_hvitvasking,aggravating,hvitvasking,money laundering,violation,fraud
aggravating_manglende bokføring,2,aggravating_manglende bokføring,aggravating,manglende bokføring,lack of bookkeeping,violation,fraud
aggravating_betydelig økonomisk fordel,2,aggravating_betydelig økonomisk fordel,aggravating,betydelig økonomisk fordel,significant financial benefit,cause,personal_gain
aggravating_risiko for betydelig skade,2,aggravating_risiko for betydelig skade,aggravating,risiko for betydelig skade,risk of significant damage,severe,damage
aggravating_vanskelig å kontrollere virksomheten,2,aggravating_vanskelig å kontrollere virksomheten,aggravating,vanskelig å kontrollere virksomheten,difficult to control the business,DELETE,
aggravating_begått over lang tid,2,aggravating_begått over lang tid,aggravating,begått over lang tid,committed over a long period of time,severe,long_time
aggravating_hyppigheten på transportene,2,aggravating_hyppigheten på transportene,aggravating,hyppigheten på transportene,the frequency of the transports,DELETE,
aggravating_betydelig bruk av kontanter,2,aggravating_betydelig bruk av kontanter,aggravating,betydelig bruk av kontanter,significant use of cash,DELETE,
aggravating_bruk av andres kontoer,2,aggravating_bruk av andres kontoer,aggravating,bruk av andres kontoer,use of other people's accounts,DELETE,
aggravating_lånebedrageri,2,aggravating_lånebedrageri,aggravating,lånebedrageri,loan fraud,violation,fraud
aggravating_voldtekt i nære relasjoner,2,aggravating_voldtekt i nære relasjoner,aggravating,voldtekt i nære relasjoner,rape in close relationships,victim,relationship
aggravating_voldtekt på eget soverom,2,aggravating_voldtekt på eget soverom,aggravating,voldtekt på eget soverom,rape in own bedroom,place,private
aggravating_gjentatte voldtekter,2,aggravating_gjentatte voldtekter,aggravating,gjentatte voldtekter,repeated rapes,repeated_offense,
aggravating_brudd på aktivitetsforbud,2,aggravating_brudd på aktivitetsforbud,aggravating,brudd på aktivitetsforbud,violation of activity bans,violation,activity_bans
aggravating_naskeri,2,aggravating_naskeri,aggravating,naskeri,snacking,DELETE,
aggravating_seksuell utnyttelse av barn,2,aggravating_seksuell utnyttelse av barn,aggravating,seksuell utnyttelse av barn,sexual exploitation of children,victim,underaged
aggravating_forsettlig,2,aggravating_forsettlig,aggravating,forsettlig,intentional,severe,intent
aggravating_våpenovertredelser,2,aggravating_våpenovertredelser,aggravating,våpenovertredelser,weapons violations,object,weapon
aggravating_særlig høye konsentrasjoner av alkohol,2,aggravating_særlig høye konsentrasjoner av alkohol,aggravating,særlig høye konsentrasjoner av alkohol,particularly high concentrations of alcohol,intoxication,
aggravating_ruspåvirket kjøring,2,aggravating_ruspåvirket kjøring,aggravating,ruspåvirket kjøring,driving under the influence of drugs,driving,drugs
aggravating_hindring av offentlig tjenesteperson,2,aggravating_hindring av offentlig tjenesteperson,aggravating,hindring av offentlig tjenesteperson,obstruction of a public official,obstruction,
