"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_begått i prøvetiden",3,"aggravating_begått i prøvetiden","aggravating","begått i prøvetiden"
"aggravating_ranet begått av flere personer",3,"aggravating_ranet begått av flere personer","aggravating","ranet begått av flere personer"
"aggravating_vedvarende og fast forbrytersk forsett",3,"aggravating_vedvarende og fast forbrytersk forsett","aggravating","vedvarende og fast forbrytersk forsett"
"mitigating_overskredet grensen for nødverge",3,"mitigating_overskredet grensen for nødverge","mitigating","overskredet grensen for nødverge"
"mitigating_delvis erkjennelse",3,"mitigating_delvis erkjennelse","mitigating","delvis erkjennelse"
"mitigating_provokasjon fra fornærmede",3,"mitigating_provokasjon fra fornærmede","mitigating","provokasjon fra fornærmede"
"mitigating_ingen forsøk på å skjule transaksjoner",3,"mitigating_ingen forsøk på å skjule transaksjoner","mitigating","ingen forsøk på å skjule transaksjoner"
"mitigating_ingen økonomisk vinning",3,"mitigating_ingen økonomisk vinning","mitigating","ingen økonomisk vinning"
"aggravating_seksuell omgang uten kondom",2,"aggravating_seksuell omgang uten kondom","aggravating","seksuell omgang uten kondom"
"aggravating_servering av alkohol",2,"aggravating_servering av alkohol","aggravating","servering av alkohol"
"aggravating_grov kroppskrenkelse",2,"aggravating_grov kroppskrenkelse","aggravating","grov kroppskrenkelse"
"aggravating_kjøring over lengre avstand",2,"aggravating_kjøring over lengre avstand","aggravating","kjøring over lengre avstand"
"aggravating_på et offentlig sted",2,"aggravating_på et offentlig sted","aggravating","på et offentlig sted"
"aggravating_stor skadepotensial",2,"aggravating_stor skadepotensial","aggravating","stor skadepotensial"
"aggravating_forfalskning av dokument",2,"aggravating_forfalskning av dokument","aggravating","forfalskning av dokument"
"aggravating_villedet markedet",2,"aggravating_villedet markedet","aggravating","villedet markedet"
"aggravating_grov utroskap",2,"aggravating_grov utroskap","aggravating","grov utroskap"
"aggravating_hvitvasking",2,"aggravating_hvitvasking","aggravating","hvitvasking"
"aggravating_manglende bokføring",2,"aggravating_manglende bokføring","aggravating","manglende bokføring"
"aggravating_betydelig økonomisk fordel",2,"aggravating_betydelig økonomisk fordel","aggravating","betydelig økonomisk fordel"
"aggravating_risiko for betydelig skade",2,"aggravating_risiko for betydelig skade","aggravating","risiko for betydelig skade"
"aggravating_vanskelig å kontrollere virksomheten",2,"aggravating_vanskelig å kontrollere virksomheten","aggravating","vanskelig å kontrollere virksomheten"
"aggravating_begått over lang tid",2,"aggravating_begått over lang tid","aggravating","begått over lang tid"
"aggravating_hyppigheten på transportene",2,"aggravating_hyppigheten på transportene","aggravating","hyppigheten på transportene"
"aggravating_betydelig bruk av kontanter",2,"aggravating_betydelig bruk av kontanter","aggravating","betydelig bruk av kontanter"
"aggravating_bruk av andres kontoer",2,"aggravating_bruk av andres kontoer","aggravating","bruk av andres kontoer"
"aggravating_lånebedrageri",2,"aggravating_lånebedrageri","aggravating","lånebedrageri"
"aggravating_voldtekt i nære relasjoner",2,"aggravating_voldtekt i nære relasjoner","aggravating","voldtekt i nære relasjoner"
"aggravating_voldtekt på eget soverom",2,"aggravating_voldtekt på eget soverom","aggravating","voldtekt på eget soverom"
"aggravating_gjentatte voldtekter",2,"aggravating_gjentatte voldtekter","aggravating","gjentatte voldtekter"
"aggravating_brudd på aktivitetsforbud",2,"aggravating_brudd på aktivitetsforbud","aggravating","brudd på aktivitetsforbud"
"aggravating_naskeri",2,"aggravating_naskeri","aggravating","naskeri"
"aggravating_seksuell utnyttelse av barn",2,"aggravating_seksuell utnyttelse av barn","aggravating","seksuell utnyttelse av barn"
"aggravating_forsettlig",2,"aggravating_forsettlig","aggravating","forsettlig"
"aggravating_våpenovertredelser",2,"aggravating_våpenovertredelser","aggravating","våpenovertredelser"
"aggravating_særlig høye konsentrasjoner av alkohol",2,"aggravating_særlig høye konsentrasjoner av alkohol","aggravating","særlig høye konsentrasjoner av alkohol"
"aggravating_ruspåvirket kjøring",2,"aggravating_ruspåvirket kjøring","aggravating","ruspåvirket kjøring"
"aggravating_hindring av offentlig tjenesteperson",2,"aggravating_hindring av offentlig tjenesteperson","aggravating","hindring av offentlig tjenesteperson"
"aggravating_truede arter berørt",2,"aggravating_truede arter berørt","aggravating","truede arter berørt"
"aggravating_fornærmedes eiendom",2,"aggravating_fornærmedes eiendom","aggravating","fornærmedes eiendom"
"aggravating_flere passasjerer i bilen",2,"aggravating_flere passasjerer i bilen","aggravating","flere passasjerer i bilen"
"aggravating_kjøring med passasjer",2,"aggravating_kjøring med passasjer","aggravating","kjøring med passasjer"
"aggravating_begått i fellesskap",2,"aggravating_begått i fellesskap","aggravating","begått i fellesskap"
"aggravating_stor risiko for skade",2,"aggravating_stor risiko for skade","aggravating","stor risiko for skade"
"aggravating_vold i det offentlige rom",2,"aggravating_vold i det offentlige rom","aggravating","vold i det offentlige rom"
"aggravating_vold i fengselet",2,"aggravating_vold i fengselet","aggravating","vold i fengselet"
"aggravating_mishandling i nære relasjoner",2,"aggravating_mishandling i nære relasjoner","aggravating","mishandling i nære relasjoner"
"aggravating_antallet bedragerier",2,"aggravating_antallet bedragerier","aggravating","antallet bedragerier"
"aggravating_mishandling av barna over mange år",2,"aggravating_mishandling av barna over mange år","aggravating","mishandling av barna over mange år"
"aggravating_trusler om vold",2,"aggravating_trusler om vold","aggravating","trusler om vold"
"aggravating_kontrollerende atferd",2,"aggravating_kontrollerende atferd","aggravating","kontrollerende atferd"
"aggravating_vold mot barn",2,"aggravating_vold mot barn","aggravating","vold mot barn"
"aggravating_nektet å stanse",2,"aggravating_nektet å stanse","aggravating","nektet å stanse"
"aggravating_utsatt politibetjenter for fare",2,"aggravating_utsatt politibetjenter for fare","aggravating","utsatt politibetjenter for fare"
"aggravating_gjentatte voldshandlinger",2,"aggravating_gjentatte voldshandlinger","aggravating","gjentatte voldshandlinger"
"aggravating_ikke møtt til soning",2,"aggravating_ikke møtt til soning","aggravating","ikke møtt til soning"
"aggravating_narkotikaforbrytelser",2,"aggravating_narkotikaforbrytelser","aggravating","narkotikaforbrytelser"
"aggravating_nye straffbare forhold",2,"aggravating_nye straffbare forhold","aggravating","nye straffbare forhold"
"aggravating_seksuelle overgrep mot barn",2,"aggravating_seksuelle overgrep mot barn","aggravating","seksuelle overgrep mot barn"
"aggravating_barn under 14 år",2,"aggravating_barn under 14 år","aggravating","barn under 14 år"
"aggravating_andre omstendigheter av særlig skjerpende art",2,"aggravating_andre omstendigheter av særlig skjerpende art","aggravating","andre omstendigheter av særlig skjerpende art"
"aggravating_vold i hjemmet",2,"aggravating_vold i hjemmet","aggravating","vold i hjemmet"
"aggravating_hastighet",2,"aggravating_hastighet","aggravating","hastighet"
"aggravating_brudd på helsepersonelloven § 4",2,"aggravating_brudd på helsepersonelloven § 4","aggravating","brudd på helsepersonelloven § 4"
"aggravating_tyverier",2,"aggravating_tyverier","aggravating","tyverier"
"aggravating_ordensforstyrrelser",2,"aggravating_ordensforstyrrelser","aggravating","ordensforstyrrelser"
"aggravating_det planmessige ved forholdet",2,"aggravating_det planmessige ved forholdet","aggravating","det planmessige ved forholdet"
"aggravating_høy risiko",2,"aggravating_høy risiko","aggravating","høy risiko"
"aggravating_lave oppdagelsesrisikoen",2,"aggravating_lave oppdagelsesrisikoen","aggravating","lave oppdagelsesrisikoen"
"aggravating_skade som har oppstått",2,"aggravating_skade som har oppstått","aggravating","skade som har oppstått"
"aggravating_forholdet har pågått over så mange år",2,"aggravating_forholdet har pågått over så mange år","aggravating","forholdet har pågått over så mange år"
"aggravating_kjøring på trafikkert vei",2,"aggravating_kjøring på trafikkert vei","aggravating","kjøring på trafikkert vei"
"aggravating_betydelig integritetskrenkelse for de fornærmede",2,"aggravating_betydelig integritetskrenkelse for de fornærmede","aggravating","betydelig integritetskrenkelse for de fornærmede"
"aggravating_vold eller trusler mot offentlig tjenestemann",2,"aggravating_vold eller trusler mot offentlig tjenestemann","aggravating","vold eller trusler mot offentlig tjenestemann"
"aggravating_kynisk holdning",2,"aggravating_kynisk holdning","aggravating","kynisk holdning"
"aggravating_betydelige beløp",2,"aggravating_betydelige beløp","aggravating","betydelige beløp"
"aggravating_kjøring med passasjerer",2,"aggravating_kjøring med passasjerer","aggravating","kjøring med passasjerer"
"aggravating_tidligere dømt for overtredelse av tollovgivningen",2,"aggravating_tidligere dømt for overtredelse av tollovgivningen","aggravating","tidligere dømt for overtredelse av tollovgivningen"
"aggravating_hevnmotiv",2,"aggravating_hevnmotiv","aggravating","hevnmotiv"
"aggravating_gjentatte trusler",2,"aggravating_gjentatte trusler","aggravating","gjentatte trusler"
"aggravating_voldsbruk",2,"aggravating_voldsbruk","aggravating","voldsbruk"
"aggravating_betydelig aldersforskjell",2,"aggravating_betydelig aldersforskjell","aggravating","betydelig aldersforskjell"
"aggravating_allmenpreventive hensyn",2,"aggravating_allmenpreventive hensyn","aggravating","allmenpreventive hensyn"
"aggravating_flere fornærmede",2,"aggravating_flere fornærmede","aggravating","flere fornærmede"
"aggravating_planmessig utføring",2,"aggravating_planmessig utføring","aggravating","planmessig utføring"
"aggravating_samtlige straffbare forhold",2,"aggravating_samtlige straffbare forhold","aggravating","samtlige straffbare forhold"
"aggravating_bruk av gjenstand",2,"aggravating_bruk av gjenstand","aggravating","bruk av gjenstand"
"aggravating_overtredelse av våpenloven",2,"aggravating_overtredelse av våpenloven","aggravating","overtredelse av våpenloven"
"aggravating_brudd på isolasjonsplikten",2,"aggravating_brudd på isolasjonsplikten","aggravating","brudd på isolasjonsplikten"
"aggravating_benyttet pistol på offentlig sted",2,"aggravating_benyttet pistol på offentlig sted","aggravating","benyttet pistol på offentlig sted"
"aggravating_forlot stedet uten å gi bistand",2,"aggravating_forlot stedet uten å gi bistand","aggravating","forlot stedet uten å gi bistand"
"aggravating_forlot stedet uten å gi hjelp",2,"aggravating_forlot stedet uten å gi hjelp","aggravating","forlot stedet uten å gi hjelp"
"aggravating_hastighetsoverskridelse",2,"aggravating_hastighetsoverskridelse","aggravating","hastighetsoverskridelse"
"aggravating_særlig grovt skadeverk",2,"aggravating_særlig grovt skadeverk","aggravating","særlig grovt skadeverk"
"aggravating_almenpreventive hensyn",2,"aggravating_almenpreventive hensyn","aggravating","almenpreventive hensyn"
"aggravating_grov narkotikakriminalitet",2,"aggravating_grov narkotikakriminalitet","aggravating","grov narkotikakriminalitet"
"aggravating_overtredelse av legemiddelloven",2,"aggravating_overtredelse av legemiddelloven","aggravating","overtredelse av legemiddelloven"
"aggravating_forulempingen av offentlig tjenestemann",2,"aggravating_forulempingen av offentlig tjenestemann","aggravating","forulempingen av offentlig tjenestemann"
"aggravating_unnlate å stoppe for politiet",2,"aggravating_unnlate å stoppe for politiet","aggravating","unnlate å stoppe for politiet"
"aggravating_vold med gjenstand",2,"aggravating_vold med gjenstand","aggravating","vold med gjenstand"
"aggravating_uberettiget adgang",2,"aggravating_uberettiget adgang","aggravating","uberettiget adgang"
"aggravating_alvorlig trussel",2,"aggravating_alvorlig trussel","aggravating","alvorlig trussel"
"aggravating_narkotikarelaterte lovbrudd",2,"aggravating_narkotikarelaterte lovbrudd","aggravating","narkotikarelaterte lovbrudd"
"aggravating_planlagt og profesjonelt bedrageri",2,"aggravating_planlagt og profesjonelt bedrageri","aggravating","planlagt og profesjonelt bedrageri"
"aggravating_grov voldtekt",2,"aggravating_grov voldtekt","aggravating","grov voldtekt"
"aggravating_råskapen i handlinger",2,"aggravating_råskapen i handlinger","aggravating","råskapen i handlinger"
"aggravating_betydelig trafikkfare",2,"aggravating_betydelig trafikkfare","aggravating","betydelig trafikkfare"
"aggravating_våpen involvert",2,"aggravating_våpen involvert","aggravating","våpen involvert"
"aggravating_beruset tilstand",2,"aggravating_beruset tilstand","aggravating","beruset tilstand"
"aggravating_ulovlig bæring av kniv",2,"aggravating_ulovlig bæring av kniv","aggravating","ulovlig bæring av kniv"
"aggravating_kjøring uten tilpasning til forholdene",2,"aggravating_kjøring uten tilpasning til forholdene","aggravating","kjøring uten tilpasning til forholdene"
"aggravating_særlig smertefull eller krenkende måte",2,"aggravating_særlig smertefull eller krenkende måte","aggravating","særlig smertefull eller krenkende måte"
"aggravating_vold i fornærmedes eget hjem",2,"aggravating_vold i fornærmedes eget hjem","aggravating","vold i fornærmedes eget hjem"
"aggravating_lang kjørestrekning",2,"aggravating_lang kjørestrekning","aggravating","lang kjørestrekning"
"aggravating_kjøring uten gyldig førerkort",2,"aggravating_kjøring uten gyldig førerkort","aggravating","kjøring uten gyldig førerkort"
"aggravating_betydelig farepotensial",2,"aggravating_betydelig farepotensial","aggravating","betydelig farepotensial"
"aggravating_beruset",2,"aggravating_beruset","aggravating","beruset"
"aggravating_mindre tyverier",2,"aggravating_mindre tyverier","aggravating","mindre tyverier"
